,threshold,sample,iou,intersection,union,gt_area,segmentation_area,gt_x_center,gt_y_center,segmentation_x_center,segmentation_y_center,x_distance,y_distance,euclidean_distance,x_size,y_size
0,0.1,0766.jpg,0.34856039890622487,2167,6217,5712,2672,639.0,448.0,621.0,470.0,18.0,-22.0,28.42534080710379,1024,1024
1,0.1,0485.jpg,0.6127379635559178,10525,17177,10949,16753,486.0,550.0,481.0,557.0,5.0,-7.0,8.602325267042627,1024,1024
2,0.1,0674.jpg,0.5937400867082584,5615,9457,6158,8914,532.0,456.0,538.0,472.0,-6.0,-16.0,17.08800749063506,1024,1024
3,0.1,0417.jpg,0.8755907030571897,9079,10369,9470,9978,551.0,502.0,553.0,492.0,-2.0,10.0,10.198039027185569,1024,1024
4,0.1,0136.jpg,0.6674436674436675,2577,3861,2822,3616,523.0,515.0,515.0,517.0,8.0,-2.0,8.246211251235321,1024,1024
5,0.1,0570.jpg,0.05801544050862852,1533,26424,25933,2024,415.0,583.0,457.0,668.0,-42.0,-85.0,94.81033698917012,1024,1024
6,0.1,0119.jpg,0.8226299694189603,2152,2616,2184,2584,525.0,514.0,524.0,515.0,1.0,-1.0,1.4142135623730951,1024,1024
7,0.1,0595.jpg,0.932285368802902,23130,24810,24013,23927,497.0,501.0,498.0,501.0,-1.0,0.0,1.0,1024,1024
8,0.1,0758.jpg,0.5829972576221971,3614,6199,3620,6193,607.0,524.0,611.0,529.0,-4.0,-5.0,6.4031242374328485,1024,1024
9,0.1,0479.jpg,0.8436974789915966,8534,10115,8673,9976,473.0,460.0,475.0,459.0,-2.0,1.0,2.23606797749979,1024,1024
10,0.1,0330.jpg,0.013855421686746987,253,18260,17885,628,546.0,439.0,561.0,513.0,-15.0,-74.0,75.50496672405067,1024,1024
11,0.1,0379.jpg,0.102100770467269,1842,18041,17199,2684,540.0,421.0,500.0,410.0,40.0,11.0,41.48493702538308,1024,1024
12,0.1,0443.jpg,0.763481314271382,6088,7974,6109,7953,548.0,526.0,545.0,527.0,3.0,-1.0,3.1622776601683795,1024,1024
13,0.1,0025.jpg,0.7945205479452054,1508,1898,1548,1858,556.0,429.0,557.0,429.0,-1.0,0.0,1.0,1024,1024
14,0.1,0678.jpg,0.7881933181965618,4860,6166,4860,6166,584.0,507.0,584.0,509.0,0.0,-2.0,2.0,1024,1024
15,0.1,0547.jpg,0.7983523943208228,34694,43457,42516,35635,440.0,615.0,437.0,608.0,3.0,7.0,7.615773105863909,1024,1024
16,0.1,0122.jpg,0.8336807002917882,2000,2399,2029,2370,496.0,510.0,496.0,511.0,0.0,-1.0,1.0,1024,1024
17,0.1,0465.jpg,0.006160714285714286,69,11200,11200,69,561.0,507.0,596.0,501.0,-35.0,6.0,35.510561809129406,1024,1024
18,0.1,0163.jpg,0.7748703441772749,3287,4242,3299,4230,526.0,550.0,524.0,551.0,2.0,-1.0,2.23606797749979,1024,1024
19,0.1,0476.jpg,0.8624053128566982,8311,9637,8604,9344,487.0,518.0,487.0,517.0,0.0,1.0,1.0,1024,1024
20,0.1,0763.jpg,0.7481731309724564,5324,7116,6802,5638,543.0,546.0,532.0,546.0,11.0,0.0,11.0,1024,1024
21,0.1,0067.jpg,0.0,0,2478,2470,8,601.0,467.0,920.0,223.0,-319.0,244.0,401.6179776852625,1024,1024
22,0.1,0771.jpg,0.618297659102298,8637,13969,8965,13641,539.0,570.0,541.0,588.0,-2.0,-18.0,18.110770276274835,1024,1024
23,0.1,0714.jpg,0.3359947857259247,2062,6137,5634,2565,538.0,565.0,544.0,573.0,-6.0,-8.0,10.0,1024,1024
24,0.1,0106.jpg,0.7068587535233323,2257,3193,2269,3181,476.0,526.0,485.0,528.0,-9.0,-2.0,9.219544457292887,1024,1024
25,0.1,0440.jpg,0.049094250459438174,187,3809,3522,474,491.0,520.0,517.0,551.0,-26.0,-31.0,40.45985664828782,1024,1024
26,0.1,0468.jpg,0.8527467145539139,10447,12251,11556,11142,435.0,478.0,441.0,481.0,-6.0,-3.0,6.708203932499369,1024,1024
27,0.1,0321.jpg,0.6836488375047644,5381,7871,7146,6106,437.0,398.0,432.0,403.0,5.0,-5.0,7.0710678118654755,1024,1024
28,0.1,0688.jpg,0.573065606772312,11102,19373,11133,19342,586.0,489.0,579.0,514.0,7.0,-25.0,25.96150997149434,1024,1024
29,0.1,0049.jpg,0.778853601859024,2011,2582,2023,2570,411.0,544.0,410.0,545.0,1.0,-1.0,1.4142135623730951,1024,1024
30,0.1,0010.jpg,0.4873200822481151,1422,2918,1422,2918,488.0,483.0,488.0,487.0,0.0,-4.0,4.0,1024,1024
31,0.1,0061.jpg,0.06972700399930447,802,11502,949,11355,508.0,494.0,375.0,341.0,133.0,153.0,202.72641663088706,1024,1024
32,0.1,0666.jpg,0.0,0,6064,3392,2672,578.0,454.0,526.0,220.0,52.0,234.0,239.70815588961506,1024,1024
33,0.1,0323.jpg,0.0,0,10749,10749,0,490.0,428.0,,,,,,1024,1024
34,0.1,0058.jpg,0.7652505446623094,1405,1836,1574,1667,436.0,477.0,434.0,481.0,2.0,-4.0,4.47213595499958,1024,1024
35,0.1,0429.jpg,0.7936363636363636,3492,4400,3500,4392,559.0,537.0,559.0,540.0,0.0,-3.0,3.0,1024,1024
36,0.1,0624.jpg,0.3244563214154073,10563,32556,10722,32397,463.0,540.0,398.0,655.0,65.0,-115.0,132.09844813622905,1024,1024
